,HUC 8,baseline pptMM,midterm pptMM,change (%),area (m2),weighted avg
0,1010001,969.1276666666668,1013.6633333333333,4.595438578267796,17222890136.0,79146733760.2423
1,1010002,977.7886666666667,1017.0257142857143,4.012835181738076,3198097222.0,12833437047.060406
2,1010003,997.0636666666667,1039.8680952380953,4.2930486790808695,2304014818.0,9891247770.99765
3,1010004,1000.1586666666666,1042.7190476190476,4.255362910989559,6324223755.0,26911867207.826122
4,1010005,1024.4546666666668,1069.1842857142856,4.366188227065082,1936076711.0,8453275342.263084
5,1020001,1073.3419999999999,1107.2971428571427,3.1634970826766167,5520935487.0,17465463306.770306
6,1020002,1054.9796666666666,1090.3757142857144,3.3551402683319727,2899615880.0,9728618001.68285
7,1020003,1101.3893333333333,1138.7861904761905,3.395425760087615,3911366037.0,13280752999.161608
8,1020004,1136.9103333333333,1169.7795238095237,2.891097873991564,3784873612.0,10942440052.97997
9,1020005,1115.9363333333333,1137.0123809523811,1.888642478024984,6202366353.0,11714052558.548702
10,1030001,1072.3506666666667,1104.8633333333335,3.0319062296786075,4109383298.0,12459264821.343422
11,1030002,1068.0406666666668,1098.0633333333335,2.8110040753754135,2270360302.0,6381992061.492555
12,1030003,1120.1903333333332,1139.8185714285714,1.7522234848100104,8885465253.0,15569320889.76992
13,1040001,1126.7633333333333,1153.387619047619,2.362899548348127,3549929487.0,8388126781.499998
14,1040002,1228.5653333333332,1251.5842857142857,1.873644954517609,5584844092.0,10464014954.743279
15,1050001,1109.2056666666665,1138.1933333333334,2.613371671078753,4261284753.0,11136320855.89002
16,1050002,1237.9406666666666,1255.8480952380953,1.4465498269514814,13760290256.0,19904945488.618954
17,1050003,1112.8116666666667,1120.827619047619,0.7203332442553728,3541389759.0,2550980774.273223
18,1060001,1196.6323333333335,1210.6652380952382,1.172699781796367,3687466139.0,4324290736.586792
19,1060002,1289.9683333333335,1300.4009523809525,0.8087500117666216,4405658885.0,3563076675.0834713
20,1060003,1205.3016666666667,1187.8490476190477,-1.4479876308381174,4361702644.0,-6315691477.905912
21,1070001,1173.7893333333334,1172.7552380952382,-0.08809887845535312,2649280496.0,-233398640.41124162
22,1070002,1170.145,1166.074761904762,-0.34784048944686197,1258831686.0,-437872629.78945845
23,1070003,1170.2586666666668,1159.5519047619048,-0.9149055853830088,1980092605.0,-1811597783.890092
24,1070004,1207.0386666666666,1190.8042857142857,-1.3449760476367691,1377639517.0,-1852892152.6428876
25,1070005,1204.6543333333332,1186.3433333333332,-1.5200210959547669,1036702417.0,-1575809544.0672958
26,1070006,1147.983,1131.8780952380953,-1.4028870429182894,4664426124.0,-6543662972.009178
27,1080101,1185.2653333333333,1211.8357142857142,2.2417242962516046,3631245577.0,8140251435.617077
28,1080102,1077.3796666666667,1101.33,2.22301701752306,1315777373.0,2924995491.4507866
29,1080103,1118.3606666666667,1123.4114285714286,0.4516219190555001,2392551174.0,1080528552.6403697
30,1080104,1067.722,1071.2604761904763,0.33140425976764837,1339361158.0,443869993.1285303
31,1080105,1179.5326666666667,1181.72,0.1854406745270273,1843735874.0,341903624.12423825
32,1080106,1130.2006666666666,1128.9880952380952,-0.10728815371766755,3422878138.0,-367234275.8265877
33,1080107,1221.7176666666667,1217.9985714285715,-0.30441527855141476,2198562340.0,-669275967.1437502
34,1080201,1150.1183333333333,1144.745238095238,-0.4671776009797892,2636938609.0,-1231918653.2836025
35,1080202,1144.9363333333333,1135.8319047619048,-0.7951908159750866,1007913031.0,-801483185.5528127
36,1080203,1334.0420000000001,1343.0509523809524,0.6753124999776786,1718228966.0,1160341498.5635219
37,1080204,1192.2736666666667,1175.835238095238,-1.3787462585990713,1871872046.0,-2580836579.9986887
38,1080205,1220.8339999999998,1188.8442857142857,-2.62031646282084,2809279002.0,-7361200017.5975
