,HUC 8,baseline tavgC,midterm tavgC,change (C),area (m2),weighted avg
0,1010001,2.9969444444444444,4.701904761904761,1.704960317460317,17222890136.0,29364344233.858723
1,1010002,2.9640555555555554,4.711507936507936,1.7474523809523808,3198097222.0,5588522605.101094
2,1010003,3.165861111111111,4.916507936507936,1.7506468253968253,2304014818.0,4033516226.798944
3,1010004,3.769722222222222,5.538650793650794,1.7689285714285714,6324223755.0,11187100092.326786
4,1010005,4.687027777777778,6.487380952380952,1.800353174603174,1936076711.0,3485621852.924122
5,1020001,3.8793888888888888,5.635873015873016,1.7564841269841271,5520935487.0,9697435549.018883
6,1020002,4.008277777777778,5.774722222222222,1.7664444444444438,2899615880.0,5122010362.248887
7,1020003,5.107944444444445,6.887619047619047,1.7796746031746027,3911366037.0,6960958799.768594
8,1020004,4.768527777777778,6.510555555555555,1.7420277777777775,3784873612.0,6593354967.48211
9,1020005,6.308138888888889,8.050396825396826,1.7422579365079365,6202366353.0,10806122003.644035
10,1030001,3.607666666666667,5.356587301587301,1.7489206349206343,4109383298.0,7186985246.67041
11,1030002,3.132277777777778,4.868531746031746,1.7362539682539677,2270360302.0,3941922083.7137766
12,1030003,5.866666666666666,7.593015873015872,1.726349206349206,8885465253.0,15339415887.559998
13,1040001,3.3021666666666665,5.002936507936508,1.7007698412698415,3549929487.0,6037613010.12412
14,1040002,5.981138888888889,7.67638888888889,1.6952500000000006,5584844092.0,9467706946.963003
15,1050001,5.681194444444444,7.394563492063492,1.7133690476190475,4261284753.0,7301153398.881178
16,1050002,7.038972222222222,8.766031746031747,1.7270595238095243,13760290256.0,23764840337.008198
17,1050003,6.978194444444444,8.547738095238095,1.5695436507936513,3541389759.0,5558365811.224109
18,1060001,7.46075,9.145674603174603,1.6849246031746032,3687466139.0,6213102420.974361
19,1060002,6.333833333333333,7.999206349206348,1.6653730158730156,4405658885.0,7337065424.220197
20,1060003,8.217888888888888,9.88579365079365,1.6679047619047616,4361702644.0,7274904609.940189
21,1070001,5.2090000000000005,6.878611111111111,1.6696111111111103,2649280496.0,4423268152.571553
22,1070002,7.142194444444445,8.797738095238095,1.6555436507936507,1258831686.0,2084050805.1751666
23,1070003,7.072444444444445,8.75404761904762,1.6816031746031754,1980092605.0,3329730010.5762715
24,1070004,8.377138888888888,10.030515873015874,1.6533769841269859,1377639517.0,2277757469.8316174
25,1070005,9.48247222222222,11.131706349206349,1.649234126984128,1036702417.0,1709765005.6433303
26,1070006,8.127027777777778,9.794365079365079,1.6673373015873008,4664426124.0,7777171667.043472
27,1080101,3.808555555555556,5.504007936507937,1.6954523809523807,3631245577.0,6156603959.347451
28,1080102,4.447388888888889,6.136785714285715,1.689396825396826,1315777373.0,2222870116.8751755
29,1080103,5.285694444444444,6.966944444444445,1.6812500000000004,2392551174.0,4022476661.287501
30,1080104,5.692694444444444,7.380079365079364,1.68738492063492,1339361158.0,2260017821.2933245
