,HUC 8,baseline tavgC,midterm tavgC,change (C),area (m2),weighted avg
0,1010001,2.9968055555555555,6.278809523809524,3.282003968253968,17222890136.0,56525593771.15412
1,1010002,2.9673333333333334,6.300277777777778,3.3329444444444443,3198097222.0,10659080368.85811
2,1010003,3.1515555555555554,6.499920634920635,3.348365079365079,2304014818.0,7714682758.930888
3,1010004,3.762388888888889,7.075753968253968,3.3133650793650795,6324223755.0,20954462143.908096
4,1010005,4.684361111111111,7.940277777777778,3.255916666666667,1936076711.0,6303704431.290084
5,1020001,3.9045833333333335,7.210555555555555,3.305972222222221,5520935487.0,18252059360.70291
6,1020002,4.026416666666667,7.311190476190476,3.2847738095238093,2899615880.0,9524582300.303333
7,1020003,5.114222222222223,8.34107142857143,3.2268492063492076,3911366037.0,12621388392.234695
8,1020004,4.792194444444445,8.035833333333333,3.2436388888888876,3784873612.0,12276763237.41255
9,1020005,6.319916666666667,9.51,3.190083333333333,6202366353.0,19786065529.932747
10,1030001,3.6356666666666664,6.960992063492064,3.3253253968253977,4109383298.0,13665036646.12951
11,1030002,3.17125,6.493730158730159,3.322480158730159,2270360302.0,7543227056.563611
12,1030003,5.891361111111111,9.135079365079365,3.243718253968254,8885465253.0,28821945836.15675
13,1040001,3.3458888888888887,6.701626984126984,3.3557380952380957,3549929487.0,11912633614.93493
14,1040002,6.017972222222222,9.299404761904762,3.28143253968254,5584844092.0,18326289132.54259
15,1050001,5.6787222222222224,8.746706349206349,3.0679841269841264,4261284753.0,13073553982.763474
16,1050002,7.02225,10.169126984126985,3.146876984126985,13760290256.0,43301940701.51322
17,1050003,6.985305555555556,9.946865079365079,2.961559523809523,3541389759.0,10488036568.287962
18,1060001,7.490972222222222,10.741507936507936,3.2505357142857143,3687466139.0,11986240380.03875
19,1060002,6.376194444444445,9.677182539682539,3.300988095238094,4405658885.0,14543027531.064936
20,1060003,8.272944444444445,11.52436507936508,3.2514206349206347,4361702644.0,14181729980.08949
21,1070001,5.261916666666667,8.625396825396825,3.363480158730158,2649280496.0,8910802383.20679
22,1070002,7.200083333333334,10.520912698412697,3.320829365079364,1258831686.0,4180365228.5611653
23,1070003,7.144555555555556,10.488055555555556,3.3435000000000006,1980092605.0,6620439624.817501
24,1070004,8.465638888888888,11.690277777777778,3.22463888888889,1377639517.0,4442389961.388308
25,1070005,9.577,12.742420634920634,3.1654206349206344,1036702417.0,3281599223.043896
26,1070006,8.200611111111112,11.471746031746031,3.2711349206349194,4664426124.0,15257967178.938185
27,1080101,3.8408333333333338,7.263015873015873,3.4221825396825394,3631245577.0,12426785210.908848
28,1080102,4.4783888888888885,7.943492063492063,3.4651031746031746,1315777373.0,4559304352.253325
29,1080103,5.329,8.738452380952381,3.4094523809523816,2392551174.0,8157289296.744716
30,1080104,5.747333333333333,9.172738095238095,3.4254047619047627,1339361158.0,4587854088.523478
31,1080105,5.092305555555556,8.560952380952381,3.4686468253968252,1843735874.0,6395268586.220341
32,1080106,6.028722222222223,9.439484126984127,3.4107619047619036,3422878138.0,11674622357.732758
33,1080107,6.185555555555555,9.587579365079366,3.4020238095238104,2198562340.0,7479561427.402383
34,1080201,7.795222222222223,11.118055555555555,3.3228333333333326,2636938609.0,8762107507.938831
35,1080202,7.335111111111112,10.638928571428572,3.30381746031746,1007913031.0,3329960670.2992935
36,1080203,6.034861111111111,9.410555555555556,3.375694444444445,1718228966.0,5800215974.809723
37,1080204,8.195500000000001,11.432619047619047,3.2371190476190463,1871872046.0,6059472654.812236
38,1080205,9.967166666666666,13.093055555555555,3.1258888888888894,2809279002.0,8781494018.140669
39,1080206,7.50375,10.819920634920635,3.316170634920635,1343557033.0,4455464379.175694
40,1080207,8.51375,11.77111111111111,3.257361111111111,1571449805.0,5118779482.870138
41,1090001,10.067444444444446,13.186984126984127,3.1195396825396813,2623762015.0,8184929723.332774
42,1090002,9.702444444444444,12.416428571428572,2.713984126984128,3118335980.0,8463114352.323496
43,1090003,9.343805555555555,12.454444444444444,3.1106388888888894,1228673900.0,3821960815.1027784
44,1090004,9.85375,12.700119047619047,2.8463690476190475,3571464446.0,10165705853.76631
45,1090005,9.821944444444446,12.662222222222221,2.840277777777775,955565849.0,2714072446.118053
46,1100001,9.075083333333334,12.16579365079365,3.090710317460317,1913205934.0,5913165319.640102
47,1100002,9.015944444444445,12.126111111111111,3.1101666666666663,1362979926.0,4239094733.1809993
48,1100003,10.005777777777778,12.985277777777778,2.9795,955502285.0,2846919058.1575
49,1100004,10.58136111111111,13.639920634920635,3.0585595238095244,1326991202.0,4058681578.8885484
50,1100005,8.561333333333332,11.828531746031747,3.2671984126984146,5050355690.0,16500514093.930407
51,1100006,10.670666666666667,13.816706349206347,3.14603968253968,1163928390.0,3661764902.5745206
52,1110000,4.558111111111112,8.08361111111111,3.525499999999999,1920366420.0,6770251813.709998
53,2010001,7.500638888888889,10.99777777777778,3.49713888888889,1780459678.0,6226514780.032392
54,2010002,6.418805555555555,9.918412698412698,3.499607142857143,2442782710.0,8548779820.363929
55,2010003,5.458583333333333,8.980238095238096,3.521654761904763,2753753245.0,9697768228.364944
56,2010004,5.030638888888888,8.661626984126984,3.630988095238096,1333546113.0,4842090060.754037
57,2010005,5.751194444444445,9.304563492063492,3.5533690476190474,1868162755.0,6638271709.531726
58,2010006,5.553722222222222,9.208253968253969,3.654531746031747,1588253105.0,5804321392.955994
59,2010007,5.7892222222222225,9.407976190476191,3.6187539682539684,1906418734.0,6898860358.816207
60,2010008,7.142972222222222,10.767103174603173,3.624130952380951,7338397967.0,26595315213.094147
61,2020001,5.129277777777777,8.698730158730157,3.56945238095238,4309337210.0,15381973964.561186
62,2020002,5.785833333333333,9.318015873015874,3.532182539682541,2731301851.0,9647456708.704805
63,2020003,7.442722222222222,10.904761904761905,3.4620396825396833,4936175364.0,17089234990.142765
64,2020004,7.151944444444444,10.701031746031745,3.549087301587301,6607191545.0,23449499611.51448
65,2020005,6.814361111111111,10.315793650793651,3.50143253968254,2403261194.0,8414856946.027913
66,2020006,8.328833333333332,11.765,3.4361666666666686,6291533554.0,21618757880.469677
67,2020007,9.618055555555555,13.047619047619047,3.429563492063492,3077758772.0,10555369121.829365
68,2020008,9.869611111111112,13.231428571428571,3.361817460317459,2448210626.0,8230437229.021537
