,HUC 8,baseline pptMM,midterm pptMM,change (%),area (m2),weighted avg
0,1010001,953.034,1015.652380952381,6.570424659810775,17222890136.0,113161702062.78615
1,1010002,962.561,1026.992380952381,6.693745222628062,3198097222.0,21407248001.262577
2,1010003,979.3223333333333,1039.3385714285714,6.128343656879549,2304014818.0,14119794595.246788
3,1010004,984.02,1047.7309523809524,6.474558685895861,6324223755.0,40946557844.484184
4,1010005,1012.3903333333333,1079.3690476190477,6.615898244028516,1936076711.0,12808886512.609406
5,1020001,1057.7383333333335,1126.3614285714286,6.487719417508283,5520935487.0,35818280361.82045
6,1020002,1041.6043333333334,1109.077619047619,6.477823061503414,2899615880.0,18783198616.965515
7,1020003,1089.9756666666667,1156.934761904762,6.143173401555617,3911366037.0,24028199802.246403
8,1020004,1124.002,1189.435238095238,5.821452105533446,3784873612.0,22033460457.75538
9,1020005,1104.4146666666668,1163.4766666666667,5.347810182407323,6202366353.0,33169077937.59397
10,1030001,1052.096,1123.3433333333332,6.771942230873727,4109383298.0,27828506298.573357
11,1030002,1047.1673333333333,1116.3966666666665,6.611105133786312,2270360302.0,15009590648.096842
12,1030003,1111.2910000000002,1162.9933333333333,4.652456767249367,8885465253.0,41339242946.47896
13,1040001,1103.5136666666667,1175.6485714285714,6.53683836828222,3549929487.0,23205315275.31802
14,1040002,1215.7530000000002,1279.5295238095237,5.245845480909649,5584844092.0,29297229141.603153
15,1050001,1096.2036666666668,1160.1909523809525,5.837171290336773,4261284753.0,24873849020.161427
16,1050002,1225.18,1284.77,4.863775118758054,13760290256.0,66926957374.02169
17,1050003,1103.6016666666667,1144.885238095238,3.740803650040218,3541389759.0,13247643736.68225
18,1060001,1188.4416666666666,1239.7376190476189,4.316236448089775,3687466139.0,15915975750.248676
19,1060002,1276.123,1338.5361904761905,4.8908444151692665,4405658885.0,21547392152.84311
20,1060003,1199.6576666666665,1247.3728571428571,3.9774005370024144,4361702644.0,17348238438.49045
21,1070001,1153.571,1223.9209523809525,6.098450150095016,2649280496.0,16156505038.474998
22,1070002,1155.987,1214.1433333333334,5.030881258468594,1258831686.0,6333032736.663822
23,1070003,1166.5623333333335,1216.7685714285715,4.30377671733826,1980092605.0,8521876451.572664
24,1070004,1201.538,1243.6180952380953,3.5021859681587495,1377639517.0,4824749785.618397
25,1070005,1199.63,1240.7033333333334,3.423833459761198,1036702417.0,3549496423.1399064
26,1070006,1143.6853333333333,1189.9585714285715,4.045976349138999,4664426124.0,18872157780.010094
27,1080101,1159.7623333333333,1240.182380952381,6.934183436351842,3631245577.0,25179722933.359287
28,1080102,1055.286,1124.7233333333334,6.579953996673252,1315777373.0,8657754584.203583
29,1080103,1094.5269999999998,1163.6466666666665,6.315026186349604,2392551174.0,15109023315.991488
30,1080104,1050.291,1109.2076190476191,5.609551928714916,1339361158.0,7513215967.104744
31,1080105,1159.8573333333334,1229.4742857142858,6.002199613712755,1843735874.0,11066470750.71115
32,1080106,1118.9446666666665,1171.174761904762,4.667799650333801,3422878138.0,15977309375.69161
33,1080107,1211.8283333333334,1265.9733333333334,4.468042090670156,2198562340.0,9823269074.082272
34,1080201,1149.4389999999999,1188.9171428571428,3.4345574543010104,2636938609.0,9056717156.075089
35,1080202,1141.5286666666666,1187.3361904761905,4.012822905559145,1007913031.0,4044576497.6083446
36,1080203,1322.9173333333335,1387.7190476190476,4.898394831855006,1718228966.0,8416563886.997971
37,1080204,1187.7266666666667,1227.8128571428572,3.375034980791638,1871872046.0,6317633634.816014
38,1080205,1226.8523333333333,1253.4190476190477,2.1654369938339006,2809279002.0,6083316676.931581
39,1080206,1241.405,1286.9304761904762,3.667254134668072,1343557033.0,4927165084.431618
40,1080207,1267.9123333333334,1311.0828571428572,3.404850846117152,1571449805.0,5350552198.184884
41,1090001,1203.0903333333333,1254.1638095238095,4.245190471190126,2623762015.0,11138369504.748604
42,1090002,1142.7396666666668,1164.44,1.898974365406634,3118335980.0,5921640088.745174
43,1090003,1219.2846666666667,1260.0995238095238,3.3474428292810865,1228673900.0,4112915636.079827
44,1090004,1182.0339999999999,1218.959523809524,3.1238969276284836,3571464446.0,11156886809.993765
45,1090005,1226.306,1259.0595238095239,2.670909529067281,955565849.0,2552229931.7453666
46,1100001,1255.05,1294.9614285714285,3.180066815778542,1913205934.0,6084122702.463991
47,1100002,1237.6933333333334,1269.9180952380952,2.6036144040603912,1362979926.0,3548674167.778766
48,1100003,1282.8613333333335,1310.7709523809524,2.175575669982951,955502285.0,2078767523.8591158
49,1100004,1252.0366666666666,1278.392380952381,2.105027351625569,1326991202.0,2793352775.5764904
50,1100005,1225.6016666666667,1271.9609523809524,3.782573651386388,5050355690.0,19103342363.12332
51,1100006,1264.838,1294.0271428571427,2.3077376594585846,1163928390.0,2686041378.5159984
52,1110000,1062.7736666666667,1145.5619047619048,7.789827758425647,1920366420.0,14959323644.864483
53,2010001,1061.905,1120.8209523809523,5.5481377694758365,1780459678.0,9878235586.540586
54,2010002,1113.378,1175.5580952380953,5.584814433022336,2442782710.0,13642488135.545416
55,2010003,1082.632,1156.0019047619048,6.776993915005723,2753753245.0,18662168984.792263
56,2010004,995.2819999999999,1056.8923809523808,6.190243664848843,1333546113.0,8254975377.782049
57,2010005,1076.1663333333333,1148.5338095238094,6.724562360757372,1868162755.0,12562576946.041796
58,2010006,985.3566666666667,1046.2180952380954,6.176588704404369,1588253105.0,9809986188.078167
59,2010007,1115.2446666666665,1204.4371428571428,7.997570296127218,1906418734.0,15246717839.018856
60,2010008,916.9926666666667,982.9280952380954,7.190398676917304,7338397967.0,52766007032.60943
61,2020001,1100.5963333333334,1173.7880952380951,6.6501913270134825,4309337210.0,28657916939.118477
62,2020002,1218.6009999999999,1300.3142857142857,6.705499643795287,2731301851.0,18314743588.97791
63,2020003,1117.9033333333332,1183.0600000000002,5.828470559469989,4936175364.0,28770352785.455055
64,2020004,1149.639,1232.5085714285715,7.2083124727476715,6607191545.0,47626701223.656456
65,2020005,1116.433,1194.562380952381,6.99812536465521,2403261194.0,16818323119.622965
66,2020006,1117.6826666666668,1179.2585714285715,5.509247534950707,6291533554.0,34661615723.43416
67,2020007,1223.9493333333335,1266.2747619047618,3.458102996482562,3077758772.0,10643206831.90369
68,2020008,1184.8463333333334,1230.642857142857,3.865186777485663,2448210626.0,9462791340.115097
69,2030101,1263.922,1293.6190476190477,2.3495949606896374,1941384201.0,4561466535.432078
70,2030102,1221.6693333333335,1246.9857142857143,2.072277682808395,487618616.0,1010481175.6587164
71,2030103,1256.9943333333333,1289.1328571428571,2.5567755523843894,2936738903.0,7508582230.926551
72,2030104,1133.8533333333332,1146.4533333333334,1.1112548360164283,1438351242.0,1598374773.562736
73,2030105,1236.38,1243.4314285714286,0.5703285859871932,2863001787.0,1632851760.8585172
74,2030201,1171.3683333333333,1190.0619047619048,1.5958747472176924,750510623.0,1197720950.7643178
75,2030202,1034.529,1056.8980952380953,2.162249220475721,5301908562.0,11464047655.21805
76,2030203,1206.4233333333332,1229.105238095238,1.880094999425704,3081284340.0,5793107279.442731
77,2040101,1135.5153333333333,1184.0785714285714,4.276757580426463,3083435590.0,13187106533.289244
78,2040102,1190.411,1251.6976190476191,5.148357924079924,2176617765.0,11206007318.130884
79,2040103,1152.193,1188.7885714285715,3.1761667905091837,1548682029.0,4918872429.568181
80,2040104,1221.9736666666665,1261.5738095238096,3.24067072289417,3962018119.0,12839596121.81953
81,2040105,1237.1093333333333,1251.922380952381,1.1973919539621127,3520745985.0,4215712914.3834133
82,2040106,1234.5149999999999,1260.5523809523809,2.1091182328591396,3526732725.0,7438296292.718498
83,2040201,1215.826,1214.5466666666666,-0.10522338996973232,1408288006.0,-148184838.04503474
84,2040202,1185.6436666666666,1179.307142857143,-0.5344374526402398,2981822499.0,-1593597620.590914
85,2040203,1209.8506666666665,1215.5995238095238,0.47517080423622526,4952290568.0,2353183892.008033
86,2040204,1118.9056666666665,1119.742380952381,0.07477969865029245,1073545182.0,80279385.19743337
87,2040205,1182.855,1182.080476190476,-0.06547918464427156,1957460174.0,-128172896.16715394
88,2040206,1160.8843333333332,1142.4180952380952,-1.5907043936250274,3094168039.0,-4921906694.251435
89,2040207,1143.7706666666668,1117.402380952381,-2.3053822311365835,1966717369.0,-4534035276.160292
90,2040301,1202.5576666666668,1194.607142857143,-0.6611345160321289,4460643597.0,-2949085445.69441
91,2040302,1164.6706666666666,1148.1795238095237,-1.4159490171020797,2234685030.0,-3164200071.7612314
92,2040303,1068.1026666666667,1045.7109523809524,-2.0964009345276,2688777425.0,-5636755506.506713
93,2040304,1074.328,1042.6785714285713,-2.9459744669624777,1927468034.0,-5678271614.0503645
94,2050101,1077.0926666666667,1137.6761904761904,5.624727164563718,5927484355.0,33340482269.09495
95,2050102,1056.3663333333334,1122.7585714285715,6.28496346392821,4162801140.0,26163053072.498703
96,2050103,970.0763333333333,1017.7199999999999,4.911331719943682,2705785276.0,13289009053.37537
97,2050104,886.3496666666667,925.8166666666667,4.4527573579877595,3585130037.0,15963714151.594679
