,HUC 8,baseline tavgC,midterm tavgC,change (C),area (m2),weighted avg
0,1010001,3.155777777777778,6.366904761904762,3.2111269841269845,17222890136.0,55304887260.36407
1,1010002,3.1287777777777777,6.388412698412698,3.2596349206349204,3198097222.0,10424629384.416729
2,1010003,3.324722222222222,6.641865079365079,3.317142857142857,2304014818.0,7642746296.28
3,1010004,3.9185833333333333,7.2226984126984135,3.30411507936508,6324223755.0,20895963074.17435
4,1010005,4.828194444444445,8.131230158730158,3.3030357142857136,1936076711.0,6394930522.02982
5,1020001,4.023444444444444,7.243888888888889,3.2204444444444444,5520935487.0,17779866017.245335
6,1020002,4.151222222222222,7.410714285714286,3.259492063492064,2899615880.0,9451274948.035557
7,1020003,5.229833333333334,8.489404761904762,3.2595714285714283,3911366037.0,12749376980.889856
8,1020004,4.889222222222222,8.070793650793652,3.18157142857143,3784873612.0,12041845744.693148
9,1020005,6.4085,9.564484126984127,3.1559841269841264,6202366353.0,19574569759.808426
10,1030001,3.7580277777777775,6.946269841269841,3.188242063492064,4109383298.0,13101708685.695343
11,1030002,3.289555555555556,6.45202380952381,3.1624682539682545,2270360302.0,7179942380.144779
12,1030003,5.986472222222222,9.116865079365079,3.1303928571428568,8885465253.0,27814996960.382248
13,1040001,3.453361111111111,6.60702380952381,3.1536626984126985,3549929487.0,11195280205.147226
14,1040002,6.108722222222222,9.226547619047619,3.1178253968253964,5584844092.0,17412568747.34787
15,1050001,5.766444444444445,8.881349206349206,3.1149047619047616,4261284753.0,13273496168.951857
16,1050002,7.1041944444444445,10.20547619047619,3.101281746031746,13760290256.0,42674536991.0313
17,1050003,7.0625,9.906269841269841,2.8437698412698413,3541389759.0,10070897392.82607
18,1060001,7.570694444444444,10.63718253968254,3.0664880952380953,3687466139.0,11307571016.837084
19,1060002,6.445666666666667,9.55345238095238,3.107785714285714,4405658885.0,13691843744.818928
20,1060003,8.316194444444445,11.338452380952381,3.022257936507936,4361702644.0,13182190432.516647
21,1070001,5.327777777777778,8.437420634920635,3.1096428571428563,2649280496.0,8238316170.954284
22,1070002,7.2578611111111115,10.343492063492064,3.085630952380953,1258831686.0,3884290014.1595006
23,1070003,7.185972222222222,10.255912698412699,3.0699404761904763,1980092605.0,6078766434.694941
24,1070004,8.484666666666666,11.497539682539681,3.0128730158730157,1377639517.0,4150652926.3696346
25,1070005,9.591611111111112,12.561626984126985,2.970015873015873,1036702417.0,3079022634.0839205
26,1070006,8.23386111111111,11.259404761904761,3.025543650793651,4664426124.0,14112424844.064238
27,1080101,3.9523333333333333,7.103730158730159,3.151396825396826,3631245577.0,11443495783.594067
28,1080102,4.579861111111112,7.720119047619048,3.140257936507936,1315777373.0,4131880338.2408133
29,1080103,5.412888888888888,8.546190476190477,3.133301587301588,2392551174.0,7496584391.194478
