,HUC 8,baseline pptMM,midterm pptMM,change (%),area (m2),weighted avg
0,1010001,966.4163333333333,1075.6657142857143,11.304587596896402,17222890136.0,194697670214.13498
1,1010002,976.3273333333333,1087.5280952380951,11.389700780485699,3198097222.0,36425370425.482544
2,1010003,989.6893333333334,1108.78,12.03313632426067,2304014818.0,27724524398.110638
3,1010004,994.7003333333333,1118.6809523809522,12.464117573193962,6324223755.0,78825868441.5062
4,1010005,1025.8863333333334,1152.977619047619,12.388437352639041,1936076711.0,23984965044.12694
5,1020001,1072.232,1192.422380952381,11.209363360949965,5520935487.0,61886171966.14625
6,1020002,1053.5033333333333,1176.0,11.627553780877136,2899615880.0,33715439588.585384
7,1020003,1099.4550000000002,1224.9004761904762,11.409787230079996,3911366037.0,44627854261.1312
8,1020004,1139.4426666666666,1269.4947619047618,11.413658540499503,3784873612.0,43199255026.315
9,1020005,1114.8033333333333,1231.6395238095238,10.48043067173497,6202366353.0,65003470563.31817
10,1030001,1067.2513333333334,1192.9509523809525,11.777883533302596,4109383298.0,48399837877.542915
11,1030002,1065.27,1186.3504761904762,11.36617723116921,2270360302.0,25805317571.142853
12,1030003,1125.804,1253.6757142857143,11.358257235337078,8885465253.0,100923399999.22345
13,1040001,1121.6946666666665,1252.3914285714286,11.651723574041132,3549929487.0,41362797089.86164
14,1040002,1234.662,1382.9061904761904,12.006864265377114,5584844092.0,67056464955.937294
15,1050001,1105.836,1219.3100000000002,10.261376913032326,4261284753.0,43726648984.290855
16,1050002,1238.7730000000001,1356.0319047619046,9.465729779540274,13760290256.0,130251189251.33705
17,1050003,1121.694,1235.4076190476192,10.13766847710866,3541389759.0,35901435324.969734
18,1060001,1208.4983333333332,1350.6571428571428,11.76326070154362,3687466139.0,43376625521.171486
19,1060002,1297.2666666666667,1454.4357142857143,12.11540014536058,4405658885.0,53376320295.73813
20,1060003,1220.4806666666666,1357.5628571428572,11.231819906708116,4361702644.0,48989858584.02062
21,1070001,1171.6716666666666,1318.8438095238096,12.560868974141757,2649280496.0,33277265186.005283
22,1070002,1176.552,1326.564761904762,12.750202447895385,1258831686.0,16050358844.325474
23,1070003,1174.6206666666667,1323.8809523809523,12.707105361755278,1980092605.0,25161245357.767475
24,1070004,1212.3696666666665,1348.1342857142856,11.198285702816646,1377639517.0,15427200906.856329
25,1070005,1213.0123333333333,1345.3804761904762,10.91234929931816,1036702417.0,11312858893.751392
26,1070006,1154.1093333333333,1291.192857142857,11.877862854951097,4664426124.0,55403413797.92312
27,1080101,1179.5413333333333,1322.3914285714286,12.110647690014135,3631245577.0,43976735858.96909
28,1080102,1068.6666666666667,1214.5700000000002,13.652838427947605,1315777373.0,17964095880.71835
29,1080103,1109.8163333333332,1253.5204761904763,12.948461699561378,2392551174.0,30979857240.77961
30,1080104,1065.058,1200.9685714285715,12.760861044992058,1339361158.0,17091401626.297653
31,1080105,1178.943,1338.6014285714286,13.542506174719954,1843735874.0,24968804458.19769
32,1080106,1128.594,1275.3985714285714,13.007739845203083,3422878138.0,44523908340.93714
33,1080107,1222.2383333333335,1382.6904761904761,13.127729550058515,2198562340.0,28862131798.463795
34,1080201,1154.7886666666668,1292.7128571428573,11.94367371774724,2636938609.0,31494734359.626266
35,1080202,1149.676,1291.2309523809522,12.312595233870436,1007913031.0,12410025181.646505
36,1080203,1336.5813333333333,1506.5280952380951,12.715033321685512,1718228966.0,21847338556.975243
37,1080204,1197.3373333333334,1324.9090476190477,10.654617603091047,1871872046.0,19944080852.045654
38,1080205,1233.2773333333332,1357.7361904761904,10.09171690575603,2809279002.0,28350448397.46883
39,1080206,1250.4796666666666,1392.0452380952381,11.320901507014096,1343557033.0,15210276839.649088
40,1080207,1277.9793333333332,1421.5942857142857,11.237658437430584,1571449805.0,17659416160.156895
41,1090001,1222.8343333333332,1350.6657142857143,10.45369576792341,2623762015.0,27428009872.2437
42,1090002,1165.3356666666666,1256.0338095238094,7.783005828404472,3118335980.0,24270027107.26337
43,1090003,1227.7303333333334,1356.5847619047618,10.495336400265016,1228673900.0,12895345906.725578
44,1090004,1194.661,1305.0485714285714,9.240074919041584,3571464446.0,33000599051.733345
45,1090005,1240.658,1349.1966666666667,8.748475943142012,955565849.0,8359744842.064572
46,1100001,1263.3013333333333,1392.192857142857,10.202753722220171,1913205934.0,19519968964.492218
47,1100002,1247.2796666666666,1376.182857142857,10.3347464021988,1362979926.0,14086051886.497686
48,1100003,1290.337,1413.9790476190476,9.58215160993195,955502285.0,9155767758.506407
49,1100004,1262.922,1387.780476190476,9.886475664409682,1326991202.0,13119266225.458752
50,1100005,1235.3509999999999,1372.7990476190475,11.12623437541619,5050355690.0,56191441086.15675
51,1100006,1274.094,1408.0061904761906,10.51038545634706,1163928390.0,12233336022.485447
52,1110000,1076.9486666666667,1222.4580952380952,13.511268742437293,1920366420.0,25946586784.57221
53,2010001,1068.747,1217.4614285714285,13.914839393367043,1780459678.0,24774810465.736
54,2010002,1124.2373333333335,1279.0704761904763,13.772282619192753,2442782710.0,33642693859.39757
55,2010003,1098.426,1243.4095238095238,13.199207211912666,2753753245.0,36347359691.23191
56,2010004,1010.0993333333333,1139.1638095238095,12.777404353348368,1333546113.0,17039257909.636995
57,2010005,1096.3843333333332,1239.192380952381,13.025363759519347,1868162755.0,24333499445.86082
58,2010006,999.7766666666666,1123.1295238095238,12.338041210155982,1588253105.0,19595932261.648197
59,2010007,1135.5683333333332,1279.195238095238,12.648019546327449,1906418734.0,24112421411.11683
60,2010008,932.8726666666666,1058.2809523809524,13.443237238624823,7338397967.0,98651824821.82309
61,2020001,1119.3993333333335,1274.790476190476,13.881654046945044,4309337210.0,59820728320.84737
62,2020002,1241.0649999999998,1409.1819047619047,13.546180479016398,2731301851.0,36998707816.31755
63,2020003,1126.656,1274.5757142857142,13.129093022689645,4936175364.0,64807505530.264915
64,2020004,1169.994,1318.780476190476,12.71685805144951,6607191545.0,84022716996.50238
65,2020005,1130.9183333333335,1276.8895238095238,12.907314893900995,2403261194.0,31019649003.25049
66,2020006,1127.6813333333334,1266.115238095238,12.27597732354985,6291533554.0,77234723239.25699
67,2020007,1234.2206666666668,1379.932857142857,11.806007986377656,3077758772.0,36336044642.375885
68,2020008,1194.537,1327.5904761904762,11.138497693288379,2448210626.0,27269388410.385098
69,2030101,1270.725,1402.3128571428572,10.355337082599089,1941384201.0,20103687808.1873
70,2030102,1226.2026666666668,1353.1590476190477,10.353621338754838,487618616.0,5048618507.791701
71,2030103,1259.745,1395.4957142857143,10.77604707982285,2936738903.0,31646436679.875313
72,2030104,1131.2816666666665,1234.2952380952381,9.105917161382292,1438351242.0,13097507258.623335
73,2030105,1232.8090000000002,1363.395238095238,10.59257663557273,2863001787.0,30326565836.579174
74,2030201,1174.891,1289.269523809524,9.735245551248909,750510623.0,7306405203.725797
75,2030202,1039.1643333333334,1131.564761904762,8.891801383813398,5301908562.0,47143517888.4437
76,2030203,1215.103,1324.4642857142858,9.000165888347384,3081284340.0,27732070209.166985
77,2040101,1147.0486666666666,1294.2661904761906,12.83446187486878,3083435590.0,39574236523.46852
78,2040102,1199.7256666666665,1354.9580952380952,12.938993712014893,2176617765.0,28163243574.79491
79,2040103,1164.4496666666666,1301.9057142857143,11.804378630853748,1548682029.0,18281229049.114822
80,2040104,1230.9959999999999,1378.2747619047618,11.964195001832822,3962018119.0,47402357376.51088
81,2040105,1233.6470000000002,1368.5157142857145,10.932520752347656,3520745985.0,38490628544.75719
82,2040106,1235.7173333333335,1378.5438095238094,11.558183440318272,3526732725.0,40762623780.52354
83,2040201,1209.9176666666667,1319.375238095238,9.04669585742374,1408288006.0,12740353269.93974
84,2040202,1175.7073333333333,1280.3500000000001,8.90040095012309,2981822499.0,26539415803.19801
85,2040203,1205.2283333333332,1337.3538095238096,10.96269250699187,4952290568.0,54290438702.26011
86,2040204,1112.721,1216.7233333333334,9.346667613295098,1073545182.0,10034069984.008392
87,2040205,1175.0916666666667,1288.4785714285713,9.649196567238407,1957460174.0,18887917991.466694
88,2040206,1150.307,1244.444761904762,8.183707645416561,3094168039.0,25321766636.96787
89,2040207,1136.9243333333332,1213.3238095238096,6.719838246973027,1966717369.0,13216022597.192364
90,2040301,1194.471,1283.2552380952382,7.432933750190515,4460643597.0,33155668339.71252
91,2040302,1156.2523333333334,1238.2785714285715,7.094146816445036,2234685030.0,15853183691.33188
92,2040303,1054.034,1117.269523809524,5.9993817855518685,2688777425.0,16131002308.948055
93,2040304,1044.6176666666665,1108.3485714285714,6.100883298792721,1927468034.0,11759257537.58744
94,2050101,1092.067,1230.5761904761905,12.683213619328345,5927484355.0,75179550299.6917
95,2050102,1077.3386666666668,1216.1985714285713,12.889160025374677,4162801140.0,53655010047.27213
96,2050103,987.954,1106.5452380952381,12.003720628211251,2705785276.0,32479490533.031475
97,2050104,908.2943333333334,1017.7395238095238,12.04952915147444,3585130037.0,43199128892.658134
98,2050105,902.9723333333333,1013.5885714285714,12.250235584394591,3138465084.0,38446936652.39676
99,2050106,1023.6973333333333,1148.8942857142856,12.229879702166429,5191429783.0,63490561728.33397
100,2050107,1144.3186666666666,1282.73,12.095523508020506,4572750528.0,55309811507.73718
101,2050201,1109.5026666666668,1233.0333333333333,11.133877400925568,4136005237.0,46049775238.3441
102,2050202,1119.886,1251.517619047619,11.75401952052433,2677956590.0,31476754033.976772
103,2050203,1087.625,1217.5947619047618,11.949868925848685,2031224649.0,24272868314.503002
104,2050204,1065.193,1188.8638095238096,11.610178580201858,2002698459.0,23251686751.28507
105,2050205,1018.3093333333333,1141.575238095238,12.104956787384664,2539975096.0,30746288778.113213
106,2050206,1090.3116666666667,1224.7342857142855,12.32882515680857,4686951354.0,57784603761.93319
107,2050301,1127.344,1256.942380952381,11.495903730572115,3750659463.0,43117220112.807304
108,2050302,1044.8376666666668,1167.0785714285714,11.699511671692346,2566366906.0,30025239570.591972
109,2050303,1020.3086666666667,1143.2309523809522,12.047558717291976,2492090233.0,30023603410.85734
110,2050304,1067.433,1190.6357142857144,11.54196228575605,3756683995.0,43359504989.793365
111,2050305,1112.6983333333333,1225.2266666666667,10.113103431747756,4860524176.0,49154983724.39854
112,2050306,1134.3866666666665,1240.6571428571428,9.368099900428687,6438155069.0,60313279860.843346
113,2060002,1124.8376666666666,1213.3309523809523,7.86720504982074,3372799571.0,26534505817.004425
114,2060003,1145.2563333333335,1249.5214285714287,9.10408370627611,3671317837.0,33423984900.392555
115,2060004,755.9476666666667,816.1166666666667,7.959413416184451,954928909.0,7600673969.796981
116,2060005,972.7203333333333,1039.8161904761905,6.897754148197157,2844434648.0,19620210892.51772
117,2060006,1127.374,1216.4747619047619,7.903389816047011,2401095729.0,18976795531.932575
118,2070001,987.9066666666666,1094.9547619047619,10.83585108290546,3832791996.0,41531563300.40798
119,2070002,1032.4213333333332,1145.5614285714287,10.958713423017425,3478643914.0,38121461754.24967
120,2070003,969.7983333333334,1071.4266666666667,10.479326457906197,3120246576.0,32698082499.06802
121,2070004,1029.501,1133.9242857142858,10.143097064916482,5897881945.0,59822789045.55341
122,2070005,1039.941,1151.3004761904763,10.708249428619148,4330248300.0,46369378884.254036
123,2070006,956.222,1058.2390476190476,10.668761816716998,2677701436.0,28567758836.965073
124,2070007,1011.1973333333334,1113.85,10.151595863913126,911248332.0,9250624798.128935
125,2070008,1081.4833333333333,1181.145238095238,9.215297331927262,3206860170.0,29552169968.464806
126,2070009,1100.4106666666667,1209.517619047619,9.915112210921778,2511001295.0,24896859601.6949
127,2070010,1092.5306666666665,1195.1195238095238,9.390020827136867,3374298079.0,31684729238.777924
128,2070011,1061.2256666666667,1157.2242857142858,9.04601368615149,4677377480.0,42311620699.37676
129,2080102,1037.9956666666667,1116.3309523809523,7.546783501114711,1738815352.0,13122463009.958569
130,2080103,1109.7943333333335,1225.4166666666667,10.418356794637315,4032085821.0,42007708709.77613
131,2080104,1116.8003333333334,1211.1204761904762,8.445569010140236,2993911253.0,25285284097.446922
132,2080105,1110.7483333333332,1223.537619047619,10.154351109923116,2359394629.0,23958121469.732788
133,2080106,1100.0503333333334,1220.282380952381,10.929686031249558,3812185369.0,41665989176.09324
134,2080107,1188.1480000000001,1286.230476190476,8.255072279756053,755954928.0,6240462570.877783
135,2080108,1173.2176666666667,1261.4571428571428,7.521151334277225,594891660.0,4474270202.359393
136,2080109,1163.201,1242.9566666666667,6.856567924775399,2142432711.0,14689735407.2322
137,2080110,871.1126666666667,929.6733333333333,6.722513505715674,2515300016.0,16909138328.48685
138,2080111,1103.001,1169.6580952380953,6.043248849103064,2787729369.0,16846942300.820059
139,2080201,1050.3036666666667,1184.1561904761904,12.744173714477217,5728114577.0,73000087225.71718
140,2080202,1079.8896666666667,1211.887619047619,12.223281364326317,2170813508.0,26534464297.764236
141,2080203,1127.2456666666667,1259.3690476190477,11.720903868548708,5240267659.0,61420673476.60378
142,2080204,1141.242,1267.4385714285713,11.057827474678584,1989412908.0,21998584712.56262
143,2080205,1089.8133333333333,1214.1733333333334,11.411128511304701,2447296765.0,27926417890.715263
144,2080206,1159.7286666666666,1269.4790476190476,9.463453315147362,3733157263.0,35328559476.5038
145,2080207,1104.1670000000001,1239.482380952381,12.254974197959257,4170672170.0,51111479831.49674
146,2080208,1208.078,1316.462380952381,8.971637671771274,1308417342.0,11738646315.88604
147,3010101,1088.1816666666666,1243.6261904761905,14.284795321509478,5674644229.0,81061131333.64996
148,3010102,1096.5106666666666,1238.9890476190476,12.993797988806405,4502552165.0,58505253266.07292
149,3010103,1187.7586666666668,1351.8257142857142,13.81316358477822,5323709052.0,73537264013.04057
150,3010104,1115.7483333333332,1259.96,12.925107065661475,3325525419.0,42982772090.15374
151,3010105,1102.2383333333335,1251.6628571428573,13.556462272332862,1545626574.0,20953228337.546097
152,3010106,1100.0033333333333,1242.3685714285714,12.942255153339358,1532874086.0,19838847538.953857
153,3010107,1205.0776666666668,1341.422380952381,11.31418480792642,3392094425.0,38378783210.3869
154,3010201,1136.7773333333332,1271.2161904761906,11.826314019531594,4463260403.0,52783919076.81913
155,3010202,1194.7043333333334,1316.1480952380953,10.165172965090267,1917393466.0,19490636224.023926
156,3010203,1206.8,1333.2128571428573,10.475046166958677,2327004497.0,24375479536.795456
157,3010204,1128.8353333333332,1269.8566666666666,12.492639906735736,4175758736.0,52166250226.253975
158,3010205,1191.2013333333334,1281.365238095238,7.569157474798939,11197316510.0,84754251959.35608
159,3020101,1142.2333333333333,1291.6299999999999,13.079347477164607,3379481650.0,44201414793.05158
160,3020102,1135.0279999999998,1283.7414285714285,13.102181494326903,2315565459.0,30338958905.81238
161,3020103,1205.6816666666666,1345.1509523809525,11.56767076834426,2487024406.0,28769079521.44495
162,3020104,1200.4583333333333,1327.4647619047619,10.579828141037407,3384265415.0,35804946474.356636
163,3020105,860.8816666666667,926.62,7.636163700392428,5056625490.0,38613220013.21708
164,3020201,1170.6773333333333,1329.2028571428573,13.541350745909261,6232019379.0,84389960266.34262
