,HUC 8,CNRM_RCP_45,HadGEM2_RCP_45,IPSL_RCP_45,CGCM3_RCP_45,NorESM_RCP_45,CNRM_RCP_85,HadGEM2_RCP_85,IPSL_RCP_85,CGCM3_RCP_85,NorESM_RCP_85
0,16060011,9.379869789,2.699449601,-5.833084602,7.682929008,7.71175081,8.76991411,0.599674642,3.344479964,10.9939165,14.94626828
1,15030202,8.916857252,2.049712939,-5.602205051,7.152231969,6.195369488,10.05569229,-1.016984404,2.098350576,9.707022072,14.74205101
2,15030201,-0.270456546,-2.108319463,-8.825771464,7.958686323,-8.997672406,5.271840518,-11.44557724,-15.16701033,13.91202477,0.256463457
3,18100204,6.026725104,-3.301136794,-4.486316218,0.460727834,-0.210429272,14.75854488,-7.141853093,-18.0188927,18.12407272,-1.127587458
4,16060013,4.720673268,-0.067451868,-12.83168599,-3.790683353,-2.492847452,6.551699644,-13.11103336,-26.04934478,6.094510195,4.495153927
5,18090208,5.227011959,-0.796668903,-15.8622903,-1.728756679,-5.380235758,6.970082561,-11.89219768,-29.36083613,7.261921066,2.206616704
6,16060003,21.20010604,1.745282774,-7.35258583,-0.05594859,5.095860073,18.81108963,1.040150469,-0.484726889,9.313979243,4.661120163
7,3050105,11.87364927,4.805605973,-5.632803521,0.877355413,17.16847546,6.133985222,-1.839418271,0.941963182,13.33618017,12.8011267
8,16040201,16.21478984,4.930857259,-4.852474651,-0.161486278,17.74871865,9.232360787,-5.292960424,6.166197393,17.51660678,10.45401645
9,14030005,14.04916338,8.042334204,-3.933938881,0.901551252,16.02922194,4.089194067,2.536225856,1.946979941,12.04758525,14.13142157
10,3050102,20.65583746,9.94437961,-3.700840387,-0.235399564,17.26648118,8.925065484,3.199280333,3.840084065,15.87623993,15.04980975
11,16060010,26.28592874,7.094095845,-7.509148918,-8.609503225,-4.805413376,7.050873685,-11.09428045,-3.642117751,16.40669273,-10.24540271
12,11140205,20.30001387,16.6868535,-1.264674616,-19.74184255,-10.33165499,13.04455387,-0.130603361,-8.313636732,-4.1758795,-10.60967913
,,,,,,,,,,,
,-0.270456546,4.089194067,,,,,,,,,
,26.28592874,18.81108963,,,,,,,,,
