,Proposed Site Name,product,ac_given (tons/yr),ac_min (tons/yr),ac_max (tons/yr),ac_p10 (tons/yr),ac_p50 (tons/yr),ac_p90 (tons/yr)
0,Angel Island,LCE,34000,27200.0,40800.0,31073.54435813038,34020.05641984086,36921.589504733594
1,Bonnie Claire,LCE,32300,25840.0,38760.0,29543.44084998929,32252.418051585246,35074.078689889895
2,Clayton Northeast (Pure Energy Minerals),LCE,10000,8000.0,12000.0,9133.42205597494,10001.175776211583,10850.027638280155
3,Fort Cady,LCE,998,798.3235206,1197.485281,913.9587523331518,999.9590915725116,1083.285128617603
4,Kings Mountain,SC,381018,304814.4,457221.6,347903.62596194487,380842.5873304955,413668.0354242771
5,Lithium Nevada (Thacker Pass),LCE,160000,128000.0,192000.0,146227.67400099407,160243.049293095,173774.54408987833
6,McDermitt JLL,LCE,44300,35440.0,53160.0,40590.943318824706,44319.74412636949,47972.67660688041
7,Paradox,LCE,13074,10459.2,15688.8,11982.951252164821,13078.365258578164,14185.229101813153
8,Piedmont Carolina,LHE,33000,26400.0,39600.0,30176.240510907042,32988.46137562509,35778.18607918156
9,Rhyolite Ridge,LHE,21954,17563.11745,26344.67618,20087.22969303897,21958.167211322027,23805.15097683914
10,Silver Peak,LCE,6000,4800.0,7200.0,5489.94256925295,6005.98911602384,6505.2492666568105
11,South West Arkansas,LHE,30000,24000.0,36000.0,27458.47385125708,30010.241003081363,32585.7671903064
12,TLC,LCE,48000,38400.0,57600.0,43914.00702213516,47995.200800541235,52127.80969317765
13,Tonopah Flats,LHE,33000,26400.0,39600.0,30195.036228442175,32972.53567031046,35810.469016804
14,Zeus,LCE,31900,25520.0,38280.0,29161.250921093644,31854.177371246846,34599.75160180422
15,Black Rock Geothermal,LCE,90000,72000.0,108000.0,82346.02577652839,89969.18982598117,97590.96969756199
16,Hell's Kitchen,LHE,25000,20000.0,30000.0,22833.341172323475,24951.602473056533,27123.328491757788
