,sample number,brine evap (m3/t LCE),brine dle (m3/t LCE),hr (m3/t LCE),csc (m3/t LCE),ofb (m3/t LCE)
0,1,268.17542246595974,254.04574060867736,162.1179836570298,116.4201916773093,73.98035450414761
1,2,298.74549100098073,309.5965927565845,47.16770762972963,88.9949450679828,86.30921405040462
2,3,84.33345002920288,418.2015008528676,110.56331828741666,98.3635522211934,42.43047043265282
3,4,218.05015749367743,66.83796662236047,126.69171472049683,108.40159550103118,106.67699453387654
4,5,106.62782091920356,267.3248082322849,244.7473914324943,151.0766391834709,91.3966944380278
5,6,100.78876276114411,523.5203843666436,165.6411759835047,171.8923966956431,79.36825543548926
6,7,283.93315226387244,488.661969220474,227.22367688235465,152.99918758035983,76.8759076660186
7,8,182.5425533550388,404.5375343813549,124.16891901532442,174.39490534148473,80.59332530157668
8,9,43.49520245339622,217.38805088811625,431.52489040988087,135.92420032550964,64.43755181809256
9,10,330.3604003151586,129.2243968902578,125.60831176416625,109.9286161544697,75.51922036853821
10,11,133.72977024460687,397.49105860033376,181.18144100132423,100.5730067604886,54.377938269871365
11,12,99.60820552003716,305.5400900563328,273.76178824832164,63.266746670583565,114.19731659693758
12,13,224.577708662399,293.7807940471343,341.9224294464412,148.80716335467815,38.117216951109725
13,14,114.79470277418376,505.9502775227278,342.2631569166963,144.04380570475345,71.89997135327062
14,15,130.36275170381714,300.73594306760106,134.8201718933189,117.79713149938397,77.86764692930777
15,16,267.5054714696741,628.6260358527621,163.74037643585837,155.0424323019074,52.51618491384201
16,17,236.25921171589323,574.3907927630324,347.05923296351284,108.39062088444597,76.08424838248025
17,18,209.7290214296214,197.51378824899376,343.4942815364554,97.24663171076152,75.72412434910046
18,19,356.346604995043,516.9459793760971,147.2759232670899,121.55227520617558,105.84577443823557
19,20,342.2619628493703,449.0642119674875,182.53768356218336,185.06118007394736,65.2419442178015
20,21,257.8962815205765,215.89992942268856,84.25488153687374,162.2948180729344,58.115746794544776
21,22,143.98781717649052,582.2465270655151,226.08166569430304,122.21469207789993,75.00433537006107
22,23,120.78300650134288,368.7964608741074,113.73480572629438,79.84503102657726,89.27526111615651
23,24,96.34521881788416,222.42715445466064,342.9381002821075,127.38472094397504,72.58897422855975
24,25,98.30786930985728,423.5248343478533,148.93328665803324,121.6386634583238,60.06926432786939
25,26,147.51988081784458,91.57463666143784,253.6183990049445,131.8800607244155,76.92909961380272
26,27,135.99393896833982,511.7327295819192,214.5725098789128,122.05277527759368,76.49648666234786
27,28,228.903361552633,321.5725736328982,244.4996725858288,108.86362189026974,53.41509072046618
28,29,166.18501434947802,75.94480543104923,351.6084451542733,165.95987985486374,50.80059397512051
29,30,286.851620661166,249.91532338262328,180.96791831981164,144.0231640801188,94.1996711660909
30,31,159.6460839424634,628.6663556922178,156.61490359383197,150.00401232108698,44.60914229432872
31,32,305.4288551613694,453.73834008888207,212.4980333006013,119.35663636425912,89.53707361822258
32,33,170.43222041194025,323.0711122710105,306.93535975504545,159.25358843280634,50.211625938904426
33,34,205.6605305494172,256.50471889724054,339.19428945783216,101.82742507603274,104.74973263387416
34,35,370.432987423771,249.7395996779648,251.17452956039645,87.01600124366442,58.81735819663163
35,36,236.059322341606,522.8870484998841,237.1214394402835,92.30919087255604,100.74770767945826
36,37,286.3244227934978,220.30752540675212,124.0563562034462,115.82995944833196,106.16214640101548
37,38,329.8402735125948,424.7069624106158,188.3703360830124,118.3620665859909,56.85860729172249
