,HUC8 ID,CNRM_p10,CNRM_p50,CNRM_p90,HadGEM2_p10,HadGEM2_p50,HadGEM2_p90,IPSL_p10,IPSL_p50,IPSL_p90,CGCM3_p10,CGCM3_p50,CGCM3_p90,NorESM_p10,NorESM_p50,NorESM_p90
0,16060011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15030202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15030201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18100204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16060013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18090208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16060003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3050105,2.332034564,2.357114485,2.388633822,2.332486797,2.358143521,2.38864093,2.332177226,2.357714074,2.388097482,2.33226319,2.357618049,2.38802764,2.331870113,2.35792968,2.388677831
8,16040201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,14030005,0.044283116,0.045167769,0.046208112,0.044251332,0.045147268,0.046205277,0.044274962,0.045185328,0.046200655,0.044286585,0.045174849,0.04621119,0.04425866,0.045168944,0.046200922
10,3050102,0.119340482,0.119892302,0.120643219,0.119346914,0.119889629,0.120637037,0.119347289,0.119878243,0.120636208,0.119345109,0.119892294,0.120641684,0.119349528,0.119881827,0.120626384
11,16060010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11140205,0.012614222,0.012700224,0.012829896,0.012614712,0.012699742,0.01283166,0.012613928,0.0127002,0.012833787,0.012615689,0.012699832,0.012830511,0.012616859,0.012701785,0.012831498
